x,y,z,distance
154.8267652,-27.67497852,,0
154.8272173,-27.66464261,-4854,1.100940849
154.8276694,-27.6543067,-4833,2.201881699
154.8281215,-27.64397079,-4816,3.302822548
154.8285737,-27.63363488,-4793,4.403763398
154.8290258,-27.62329897,-4764,5.504704247
154.8294779,-27.61296306,-4727,6.605645097
154.8299301,-27.60262715,-4709,7.706585946
154.8303822,-27.59229123,-4687,8.807526796
154.8308343,-27.58195532,-4673,9.908467645
154.8312865,-27.57161941,-4646,11.00940849
154.8317386,-27.5612835,-4591,12.11034934
154.8321907,-27.55094759,-4620,13.21129019
154.8326429,-27.54061168,-4642,14.31223104
154.833095,-27.53027577,-4686,15.41317189
154.8335471,-27.51993986,-4713,16.51411274
154.8339992,-27.50960395,-4749,17.61505359
154.8344514,-27.49926804,-4776,18.71599444
154.8349035,-27.48893213,-4739,19.81693529
154.8353556,-27.47859622,-4655,20.91787614
154.8358078,-27.46826031,-4571,22.01881699
154.8362599,-27.4579244,-4434,23.11975784
154.836712,-27.44758849,-4266,24.22069869
154.8371642,-27.43725258,-4132,25.32163954
154.8376163,-27.42691667,-4016,26.42258039
154.8380684,-27.41658075,-3996,27.52352124
154.8385206,-27.40624484,-3963,28.62446209
154.8389727,-27.39590893,-3936,29.72540294
154.8394248,-27.38557302,-3979,30.82634378
154.8398769,-27.37523711,-4022,31.92728463
154.8403291,-27.3649012,-4093,33.02822548
154.8407812,-27.35456529,-4173,34.12916633
154.8412333,-27.34422938,-4247,35.23010718
154.8416855,-27.33389347,-4345,36.33104803
154.8421376,-27.32355756,-4472,37.43198888
154.8425897,-27.31322165,-4577,38.53292973
154.8430419,-27.30288574,-4656,39.63387058
154.843494,-27.29254983,-4757,40.73481143
154.8439461,-27.28221392,-4833,41.83575228
154.8443983,-27.27187801,-4894,42.93669313
154.8448504,-27.2615421,-4939,44.03763398
154.8453025,-27.25120619,-4954,45.13857483
154.8457546,-27.24087028,-4961,46.23951568
154.8462068,-27.23053436,-4967,47.34045653
154.8466589,-27.22019845,-4959,48.44139738
154.847111,-27.20986254,-4926,49.54233823
154.8475632,-27.19952663,-4898,50.64327907
154.8480153,-27.18919072,-4871,51.74421992
154.8484674,-27.17885481,-4849,52.84516077
154.8489196,-27.1685189,-4821,53.94610162
154.8493717,-27.15818299,-4800,55.04704247
154.8498238,-27.14784708,-4802,56.14798332
154.850276,-27.13751117,-4803,57.24892417
154.8540063,-27.13115958,-4805,58.34986502
154.8642357,-27.13270694,-4807,59.45080587
154.8744651,-27.1342543,-4808,60.55174672
154.8846946,-27.13580166,-4803,61.65268757
154.894924,-27.13734902,-4803,62.75362842
154.9051534,-27.13889638,-4801,63.85456927
154.9153829,-27.14044374,-4790,64.95551012
154.9256123,-27.1419911,-4788,66.05645097
154.9358417,-27.14353846,-4785,67.15739182
154.9460711,-27.14508582,-4779,68.25833267
154.9563006,-27.14663318,-4775,69.35927352
154.96653,-27.14818054,-4776,70.46021436
154.9767594,-27.1497279,-4777,71.56115521
154.9869888,-27.15127526,-4778,72.66209606
154.9972183,-27.15282262,-4781,73.76303691
155.0074477,-27.15436998,-4777,74.86397776
155.0176771,-27.15591734,-4775,75.96491861
155.0279065,-27.1574647,-4773,77.06585946
155.038136,-27.15901206,-4767,78.16680031
155.0483654,-27.16055942,-4768,79.26774116
155.0585948,-27.16210678,-4768,80.36868201
155.0688242,-27.16365414,-4767,81.46962286
155.0790537,-27.1652015,-4771,82.57056371
155.0892831,-27.16674886,-4777,83.67150456
155.0995125,-27.16829622,-4782,84.77244541
155.1097419,-27.16984358,-4784,85.87338626
155.1199714,-27.17139094,-4787,86.97432711
155.1302008,-27.1729383,-4791,88.07526796
155.1404302,-27.17448566,-4793,89.17620881
155.1506596,-27.17603302,-4794,90.27714965
155.1608891,-27.17758038,-4798,91.3780905
155.1711185,-27.17912774,-4797,92.47903135
155.1813479,-27.1806751,-4793,93.5799722
155.1915773,-27.18222246,-4790,94.68091305
155.2018068,-27.18376982,-4783,95.7818539
155.2120362,-27.18531718,-4778,96.88279475
155.2222656,-27.18686454,-4764,97.9837356
155.232495,-27.1884119,-4758,99.08467645
155.2427245,-27.18995926,-4747,100.1856173
155.2529539,-27.19150662,-4734,101.2865581
155.2631833,-27.19305398,-4725,102.387499
155.2734127,-27.19460134,-4725,103.4884398
155.2836422,-27.1961487,-4713,104.5893807
155.2938716,-27.19769606,-4713,105.6903215
155.304101,-27.19924342,-4721,106.7912624
155.3143304,-27.20079078,-4713,107.8922032
155.3245599,-27.20233814,-4729,108.9931441
155.3347893,-27.2038855,-4751,110.0940849
155.3450187,-27.20543286,-4767,111.1950258
155.3552481,-27.20698022,-4798,112.2959666
155.3654776,-27.20852758,-4822,113.3969075
155.375707,-27.21007494,-4849,114.4978483
155.3859364,-27.2116223,-4864,115.5987892
155.3961659,-27.21316966,-4884,116.69973
155.4063953,-27.21471702,-4898,117.8006709
155.4166247,-27.21626438,-4900,118.9016117
155.4268541,-27.21781174,-4905,120.0025526
